paraquestion,SQL,Header
How many times is the model ge40lfr?,select COUNT(Manufacturer) where Model eq GE40LFR ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
How many times is the ge40lfr model?,select COUNT(Manufacturer) where Model eq GE40LFR ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
How many times is the fleet series (quantity) 468-473 (6)?,select COUNT(Order Year) where Fleet Series (Quantity) eq 468-473 (6) ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
How many times is the fleet series (quantity) is 468-473 (6)?,select COUNT(Order Year) where Fleet Series (Quantity) eq 468-473 (6) ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
What is the powertrain (engine/transmission) when the order year is 2000?,select Powertrain (Engine/Transmission) where Order Year eq 2000 ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
What is the powertrain (engine/transmission) when order year is 2000?,select Powertrain (Engine/Transmission) where Order Year eq 2000 ,"['Order Year', 'Manufacturer', 'Model', 'Fleet Series (Quantity)', 'Powertrain (Engine/Transmission)', 'Fuel Propulsion']"
What if the description of a ch-47d Chinook?,select Description where Aircraft eq CH-47D Chinook ,"['Aircraft', 'Description', 'Max Gross Weight', 'Total disk area', 'Max disk Loading']"
What is the maximum gross weight of the Robinson R-22?,select Max Gross Weight where Aircraft eq Robinson R-22 ,"['Aircraft', 'Description', 'Max Gross Weight', 'Total disk area', 'Max disk Loading']"
From what school did player number 6 come from?,select School/Club Team where No. eq 6 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
From what school did the player number 6 come from?,select School/Club Team where No. eq 6 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What school did the player who has been in Toronto from 2012-present come from?,select School/Club Team where Years in Toronto eq 2012-present ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
From what school did the player who has been in Toronto from 2012-present come from?,select School/Club Team where Years in Toronto eq 2012-present ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What school did the player come from that has been in Toronto from 2012-present?,select School/Club Team where Years in Toronto eq 2012-present ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What school did the player who has been in Toronto from 2010-2012 go to?,select School/Club Team where Years in Toronto eq 2010-2012 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What school did the player go to that has been in Toronto from 2010-2012?,select School/Club Team where Years in Toronto eq 2010-2012 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What position played the player from Baylor?,select Position where School/Club Team eq Baylor ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Who played in the 1995-96 Toronto Raptors?,select Player where Years in Toronto eq 1995-96 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which number Patrick O'Bryant was?,select No. where Player eq Patrick O'Bryant ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
For what school did Patrick O'Bryant play?,select School/Club Team where Player eq Patrick O'Bryant ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What school played Patrick O'Bryant for?,select School/Club Team where Player eq Patrick O'Bryant ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
How many numbers does Fordham school have?,select COUNT(No.) where School/Club Team eq Fordham ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
How many numbers does Fordham School have?,select COUNT(No.) where School/Club Team eq Fordham ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which school was in 2001-02 in Toronto?,select School/Club Team where Years in Toronto eq 2001-02 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which school did the player who played 2004-05 attend?,select School/Club Team where Years in Toronto eq 2004-05 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which school did the player who played in 2004-05 attend?,select School/Club Team where Years in Toronto eq 2004-05 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which position plays Loren Woods?,select Position where Player eq Loren Woods ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What number is the player who played 1998-2001,select MIN(No.) where Years in Toronto eq 1998-2001 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What number is the player who played 1998-2001?,select MIN(No.) where Years in Toronto eq 1998-2001 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which country is the player who went to Georgetown from?,select Nationality where School/Club Team eq Georgetown ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which school Herb Williams went to?,select School/Club Team where Player eq Herb Williams ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which school went Herb Williams to?,select School/Club Team where Player eq Herb Williams ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
To which school Herb Williams went?,select School/Club Team where Player eq Herb Williams ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
When played the player from Hawaii for Toronto?,select Years in Toronto where School/Club Team eq Hawaii ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
During which period did Dell Curry play for Toronto?,select Years in Toronto where Player eq Dell Curry ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What is the number of the player from Boise State?,select No. where School/Club Team eq Boise State ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What is Dell Curry nationality?,select Nationality where Player eq Dell Curry ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What is Dell Curry Nationality?,select Nationality where Player eq Dell Curry ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which player is from georgia,select Player where School/Club Team eq Georgia ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which player is from georgia?,select Player where School/Club Team eq Georgia ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which player is from Georgia,select Player where School/Club Team eq Georgia ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What school is rudy gay from?,select School/Club Team where Player eq Rudy Gay ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What school is rudy gay from,select School/Club Team where Player eq Rudy Gay ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What nationality is the player who played from 1997-98?,select Nationality where Years in Toronto eq 1997-98 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What nationality is the player who played from 1997-98,select Nationality where Years in Toronto eq 1997-98 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What position did the player from connecticut play?,select Position where School/Club Team eq Connecticut ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What position did the player from connecticut play,select Position where School/Club Team eq Connecticut ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What position played the player from connecticut,select Position where School/Club Team eq Connecticut ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which years was Marcus Banks in Toronto?,select Years in Toronto where Player eq Marcus Banks ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
Which positions were held in Toronto in 2004?,select Position where Years in Toronto eq 2004 ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What is the nationality of the player Muggsy Bogues?,select Nationality where Player eq Muggsy Bogues ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What years was Lonny Baxter the player in Toronto?,select Years in Toronto where Player eq Lonny Baxter ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
How many players were in the La Salle school or club team?,select COUNT(Player) where School/Club Team eq La Salle ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
How many players were with the La Salle school or club team?,select COUNT(Player) where School/Club Team eq La Salle ,"['Player', 'No.', 'Nationality', 'Position', 'Years in Toronto', 'School/Club Team']"
What was the best finish when the scoring rank was 117?,select Best finish where Scoring rank eq 117 ,"['Year', 'Tournaments played', 'Cuts made*', 'Wins', '2nd', 'Top 10s', 'Best finish', 'Earnings ($)', 'Money list rank', 'Scoring average', 'Scoring rank']"
"When the best finish was T69, how many people came in 2nd place?",select 2nd where Best finish eq T69 ,"['Year', 'Tournaments played', 'Cuts made*', 'Wins', '2nd', 'Top 10s', 'Best finish', 'Earnings ($)', 'Money list rank', 'Scoring average', 'Scoring rank']"
How many people came in 2nd when the best finish was T69?,select 2nd where Best finish eq T69 ,"['Year', 'Tournaments played', 'Cuts made*', 'Wins', '2nd', 'Top 10s', 'Best finish', 'Earnings ($)', 'Money list rank', 'Scoring average', 'Scoring rank']"
How many wins were there when the rank of the money list was 183?,select COUNT(Wins) where Money list rank eq 183 ,"['Year', 'Tournaments played', 'Cuts made*', 'Wins', '2nd', 'Top 10s', 'Best finish', 'Earnings ($)', 'Money list rank', 'Scoring average', 'Scoring rank']"
"When the money list rank was n/a, what was the average score?",select Scoring average where Money list rank eq n/a ,"['Year', 'Tournaments played', 'Cuts made*', 'Wins', '2nd', 'Top 10s', 'Best finish', 'Earnings ($)', 'Money list rank', 'Scoring average', 'Scoring rank']"
What was the average score when the money list rank was n/a?,select Scoring average where Money list rank eq n/a ,"['Year', 'Tournaments played', 'Cuts made*', 'Wins', '2nd', 'Top 10s', 'Best finish', 'Earnings ($)', 'Money list rank', 'Scoring average', 'Scoring rank']"
"When the money list rank was n/a, what was the average scoring?",select Scoring average where Money list rank eq n/a ,"['Year', 'Tournaments played', 'Cuts made*', 'Wins', '2nd', 'Top 10s', 'Best finish', 'Earnings ($)', 'Money list rank', 'Scoring average', 'Scoring rank']"
What time was the highest for the 2nd finishers?,select MAX(2nd) where ,"['Year', 'Tournaments played', 'Cuts made*', 'Wins', '2nd', 'Top 10s', 'Best finish', 'Earnings ($)', 'Money list rank', 'Scoring average', 'Scoring rank']"
When did the Metrostars have their first rookie of the year winner?,select MIN(Season) where Team eq MetroStars ,"['Season', 'Player', 'Position', 'Nationality', 'Team', 'Draft Pick #', 'Draft Class', 'College']"
What college did the rookie of the year attend from the Columbus Crew?,select College where Team eq Columbus Crew ,"['Season', 'Player', 'Position', 'Nationality', 'Team', 'Draft Pick #', 'Draft Class', 'College']"
What college did the rookie of the year from the Columbus Crew attend?,select College where Team eq Columbus Crew ,"['Season', 'Player', 'Position', 'Nationality', 'Team', 'Draft Pick #', 'Draft Class', 'College']"
How many teams had a #1 draft pick that won the Rookie of the Year award?,select COUNT(Team) where Draft Pick # eq 1 ,"['Season', 'Player', 'Position', 'Nationality', 'Team', 'Draft Pick #', 'Draft Class', 'College']"
How many teams had a #1 pick in the draft that won the Rookie of the Year Award?,select COUNT(Team) where Draft Pick # eq 1 ,"['Season', 'Player', 'Position', 'Nationality', 'Team', 'Draft Pick #', 'Draft Class', 'College']"
What position did the #10 pick play?,select Position where Draft Pick # eq 10 ,"['Season', 'Player', 'Position', 'Nationality', 'Team', 'Draft Pick #', 'Draft Class', 'College']"
What position played the #10 pick in the draft?,select Position where Draft Pick # eq 10 ,"['Season', 'Player', 'Position', 'Nationality', 'Team', 'Draft Pick #', 'Draft Class', 'College']"
What's the years played with singles w-l of 3–2,select Years Played where Singles W-L eq 3–2 ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the years played with singles w-l of 3–2,select Years Played where Singles W-L eq 3–2 ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What are the years played with singles w-l of 3–2,select Years Played where Singles W-L eq 3–2 ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the doubles w-l for player seol jae-min (none),select Doubles W-L where Player eq Seol Jae-Min (none) ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the doubles w-l for player Seol Jae-min (none),select Doubles W-L where Player eq Seol Jae-Min (none) ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What's the doubles w-l for player Seol Jae-min (none),select Doubles W-L where Player eq Seol Jae-Min (none) ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the singles w-l for Kim Doo-hwan,select Singles W-L where Player eq Kim Doo-Hwan ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What's the singles w-l for Kim Doo-hwan,select Singles W-L where Player eq Kim Doo-Hwan ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What are the singles w-l for Kim Doo-hwan,select Singles W-L where Player eq Kim Doo-Hwan ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1,select COUNT(Singles W-L) where Doubles W-L eq 0–0 and Total W-L eq 3–1 ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1?,select COUNT(Singles W-L) where Doubles W-L eq 0–0 and Total W-L eq 3–1 ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the total number of singles w-l with doubles w-l of 0–0 and the total w-l of 3–1,select COUNT(Singles W-L) where Doubles W-L eq 0–0 and Total W-L eq 3–1 ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the doubles w-l with a played value of 1 (1968),select Doubles W-L where Years Played eq 1 (1968) ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the doubles w-l with a play value of 1 (1968),select Doubles W-L where Years Played eq 1 (1968) ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What's the doubles w-l with a played value of 1 (1968),select Doubles W-L where Years Played eq 1 (1968) ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What years are played for player im chung-yang,select Years Played where Player eq Im Chung-Yang ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What years are played for player in chung-yang,select Years Played where Player eq Im Chung-Yang ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What years are played for the player im chung-yang,select Years Played where Player eq Im Chung-Yang ,"['Player', 'Years Played', 'Total W-L', 'Singles W-L', 'Doubles W-L']"
What is the name of the length of the 375 crest?,select Name where Crest length (meters) eq 375 ,"['Name', 'Canton', 'Height (meters)', 'Crest length (meters)', 'Type', 'Year of construction', 'Name of the Lake']"
What is the year of construction of the spitallamm?,select MIN(Year of construction) where Name eq Spitallamm ,"['Name', 'Canton', 'Height (meters)', 'Crest length (meters)', 'Type', 'Year of construction', 'Name of the Lake']"
What is the year of the construction of the spitallamm?,select MIN(Year of construction) where Name eq Spitallamm ,"['Name', 'Canton', 'Height (meters)', 'Crest length (meters)', 'Type', 'Year of construction', 'Name of the Lake']"
What is the canton of Grande dixence?,select Canton where Name eq Grande Dixence ,"['Name', 'Canton', 'Height (meters)', 'Crest length (meters)', 'Type', 'Year of construction', 'Name of the Lake']"
What is the canton of the Grande dixence?,select Canton where Name eq Grande Dixence ,"['Name', 'Canton', 'Height (meters)', 'Crest length (meters)', 'Type', 'Year of construction', 'Name of the Lake']"
What is the name where Lago di Luzzone is?,select Name where Name of the Lake eq Lago di Luzzone ,"['Name', 'Canton', 'Height (meters)', 'Crest length (meters)', 'Type', 'Year of construction', 'Name of the Lake']"
What is the name where is Lago di Luzzone?,select Name where Name of the Lake eq Lago di Luzzone ,"['Name', 'Canton', 'Height (meters)', 'Crest length (meters)', 'Type', 'Year of construction', 'Name of the Lake']"
What is the name of the lago di luzzone?,select Name where Name of the Lake eq Lago di Luzzone ,"['Name', 'Canton', 'Height (meters)', 'Crest length (meters)', 'Type', 'Year of construction', 'Name of the Lake']"
What is the guardian mtk for the guardian whose consort is Svh?,select Guardian Mātṛkā where Consort eq Svāhā ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
What is guardian mtk for the guardian whose consort is Svh?,select Guardian Mātṛkā where Consort eq Svāhā ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
"Where the mantra is ""o ya vyuve nama"", what is the direction of the guardian?",select Direction where Mantra eq Oṃ Yaṃ Vāyuve Namaḥ ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
"Where the mantra is ""o ya vyuve Nama"", what is the direction of the guardian?",select Direction where Mantra eq Oṃ Yaṃ Vāyuve Namaḥ ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
"Where the mantra is ""o ya vyuve nama"" what is the direction of the guardian?",select Direction where Mantra eq Oṃ Yaṃ Vāyuve Namaḥ ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
What weapon is used by the guardian whose consort is ac?,select Weapon where Consort eq Śacī ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
What weapon is used by the guardian whose consort is  ac ?,select Weapon where Consort eq Śacī ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
What are the directions for the guardian whose weapon is khaga (sword)?,select Direction where Weapon eq Khaḍga (sword) ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
What are the directions for the guardian whose weapon is the khaga (sword)?,select Direction where Weapon eq Khaḍga (sword) ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
What are the weapons used by guardians for the direction east?,select Weapon where Direction eq East ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
What are the weapons used by guardians for direction east?,select Weapon where Direction eq East ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
What are the directions for the guardian whose graha (planet) is bhaspati (Jupiter)?,select Direction where Graha (Planet) eq Bṛhaspati (Jupiter) ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
What are the directions for the guardian whose graha (planet) is bhaspati (jupiter)?,select Direction where Graha (Planet) eq Bṛhaspati (Jupiter) ,"['Name', 'Direction', 'Mantra', 'Weapon', 'Consort', 'Graha (Planet)', 'Guardian Mātṛkā']"
"What is the number of chapters listed for the fraternity with headquarters in Austin, Texas?","select MAX(Chapters) where Classification eq Fraternity and Headquarters eq Austin, Texas ","['Member', 'Headquarters', 'Classification', 'Chapters', 'Founded', 'UCCFS']"
What are the members listed with the sorority classification?,select Member where Classification eq Sorority ,"['Member', 'Headquarters', 'Classification', 'Chapters', 'Founded', 'UCCFS']"
What are the members listed with the Sorority classification?,select Member where Classification eq Sorority ,"['Member', 'Headquarters', 'Classification', 'Chapters', 'Founded', 'UCCFS']"
Name the member that has 12 chapters.,select Member where Chapters eq 12 ,"['Member', 'Headquarters', 'Classification', 'Chapters', 'Founded', 'UCCFS']"
Name the member who has 12 chapters,select Member where Chapters eq 12 ,"['Member', 'Headquarters', 'Classification', 'Chapters', 'Founded', 'UCCFS']"
Where is the headquarters of Alpha Nu Omega?,select Headquarters where Member eq Alpha Nu Omega ,"['Member', 'Headquarters', 'Classification', 'Chapters', 'Founded', 'UCCFS']"
What is the number of relapsing fever when malaria is 3000?,select MIN(Relapsing fever) where Malaria eq 3000 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the number of relapsing fever when malaria is 3000,select MIN(Relapsing fever) where Malaria eq 3000 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the typhoid fever number for the year 1934,select Typhoid fever where Year eq 1934 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the typhoid fever number for the year 1934?,select Typhoid fever where Year eq 1934 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the typhoid fever number for 1934?,select Typhoid fever where Year eq 1934 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What are all the typhus numbers when smallpox is 4,select Typhus where Smallpox eq 4 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What are the typhus numbers when smallpox is 4,select Typhus where Smallpox eq 4 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the typhus number when smallpox is 4,select Typhus where Smallpox eq 4 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the number of smallpox when typhoid fever is 293,select MAX(Smallpox) where Typhoid fever eq 293 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the number of smallpox when typhoid fever is 293?,select MAX(Smallpox) where Typhoid fever eq 293 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the number of smallpox when the typhoid fever is 293,select MAX(Smallpox) where Typhoid fever eq 293 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the typhoid fever number for the year 1929,select Typhoid fever where Year eq 1929 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the typhoid fever number for the year 1929?,select Typhoid fever where Year eq 1929 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
What is the number of typhoid fever for the year 1929?,select Typhoid fever where Year eq 1929 ,"['Year', 'Typhus', 'Typhoid fever', 'Relapsing fever', 'Smallpox', 'Malaria']"
"How many schools are there in Bloomington, IN?","select COUNT(Founded) where Location eq Bloomington, IN ","['School', 'Location', 'Founded', 'Affiliation', 'Enrollment', 'Team Nickname', 'Primary conference']"
How many of the schools are designated private/presbyterian?,select COUNT(Location) where Affiliation eq Private/Presbyterian ,"['School', 'Location', 'Founded', 'Affiliation', 'Enrollment', 'Team Nickname', 'Primary conference']"
How many of the schools are designated as private/presbyterian?,select COUNT(Location) where Affiliation eq Private/Presbyterian ,"['School', 'Location', 'Founded', 'Affiliation', 'Enrollment', 'Team Nickname', 'Primary conference']"
In which year was Lindenwood University founded?,select MIN(Founded) where School eq Lindenwood University ,"['School', 'Location', 'Founded', 'Affiliation', 'Enrollment', 'Team Nickname', 'Primary conference']"
"How many schools are listed in Ames, IA?","select COUNT(Primary conference) where Location eq Ames, IA ","['School', 'Location', 'Founded', 'Affiliation', 'Enrollment', 'Team Nickname', 'Primary conference']"
What is the capital (endonym) where Douglas is the capital (exonym)?,select Capital ( endonym ) where Capital ( exonym ) eq Douglas ,"['Country ( exonym )', 'Capital ( exonym )', 'Country ( endonym )', 'Capital ( endonym )', 'Official or native language(s) (alphabet/script)']"
"What is the capital (endonym), where Douglas is the capital (exonym)?",select Capital ( endonym ) where Capital ( exonym ) eq Douglas ,"['Country ( exonym )', 'Capital ( exonym )', 'Country ( endonym )', 'Capital ( endonym )', 'Official or native language(s) (alphabet/script)']"
How many countries (endonym) have the capital (endonym) of Jakarta?,select COUNT(Country ( endonym )) where Capital ( endonym ) eq Jakarta ,"['Country ( exonym )', 'Capital ( exonym )', 'Country ( endonym )', 'Capital ( endonym )', 'Official or native language(s) (alphabet/script)']"
What is the country (exonym) where the official or native language (alphabet/script) is Icelandic?,select Country ( exonym ) where Official or native language(s) (alphabet/script) eq Icelandic ,"['Country ( exonym )', 'Capital ( exonym )', 'Country ( endonym )', 'Capital ( endonym )', 'Official or native language(s) (alphabet/script)']"
