paraquestion,SQL,Header
Name the total number of date for the score being l 106–116 (ot),select COUNT(Date) where Score eq L 106–116 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the total date for the score being l 106–116 (ot),select COUNT(Date) where Score eq L 106–116 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the record for Charlotte,select Record where Team eq Charlotte ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the record for charlotte.,select Record where Team eq Charlotte ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the most game for 113–96 (ot),select MAX(Game) where Score eq W 113–96 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
The most game for w 113–96 (ot),select MAX(Game) where Score eq W 113–96 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Was the score when the record was 22-53?,select Score where Record eq 22-53 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What was the record when they played Golden State?,select Record where Team eq Golden State ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How many percentages are there for the population whose mother tongue is French (2006)?,select COUNT(Percentage (2006)) where Mother Tongue eq French ,"['Mother Tongue', 'Population (2006)', 'Percentage (2006)', 'Population (2011)', 'Percentage (2011)']"
Was the minimum population in 2011?,select MIN(Population (2011)) where ,"['Mother Tongue', 'Population (2006)', 'Percentage (2006)', 'Population (2011)', 'Percentage (2011)']"
What was the percentage in 2006 whose native is Polish?,select Percentage (2006) where Mother Tongue eq Polish ,"['Mother Tongue', 'Population (2006)', 'Percentage (2006)', 'Population (2011)', 'Percentage (2011)']"
What was the percentage in 2006 whose natives are Polish?,select Percentage (2006) where Mother Tongue eq Polish ,"['Mother Tongue', 'Population (2006)', 'Percentage (2006)', 'Population (2011)', 'Percentage (2011)']"
"Name the location of attendance for dirk nowitzki, caron butler (17)","select Location Attendance where High points eq Dirk Nowitzki , Caron Butler (17) ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
"Name the location for dirk nowitzki, caron butler (17)","select Location Attendance where High points eq Dirk Nowitzki , Caron Butler (17) ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
"Name the location of attendance for Dirk nowitzki, caron butler (17)","select Location Attendance where High points eq Dirk Nowitzki , Caron Butler (17) ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the location of attendance for the 4 game,select Location Attendance where Game eq 4 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the location attendance for the 4 game,select Location Attendance where Game eq 4 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the location of the attendance for the 4 game,select Location Attendance where Game eq 4 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the date for l 89–92 (ot),select Date where Score eq L 89–92 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the date for l 89 – 92 (ot),select Date where Score eq L 89–92 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the date for l 89–92 (ot ),select Date where Score eq L 89–92 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the high assists for the 1-2 series,select High assists where Series eq 1-2 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the high assists for the 1-2 series.,select High assists where Series eq 1-2 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
"Name the high rebounds for American Airlines Center 20,557","select High rebounds where Location Attendance eq American Airlines Center 20,557 ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
"Name the high rebounds for the American Airlines Center 20,557","select High rebounds where Location Attendance eq American Airlines Center 20,557 ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
"Name the high rebounds for American Airlines center 20,557","select High rebounds where Location Attendance eq American Airlines Center 20,557 ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the score for Dec 27.,select COUNT(Score) where Date eq December 27 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the score for Dec 27,select COUNT(Score) where Date eq December 27 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the score for December 27.,select COUNT(Score) where Date eq December 27 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"Name the total number of high points for the Pepsi center 19,756","select COUNT(High points) where Location Attendance eq Pepsi Center 19,756 ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"Name the total number of high points for the Pepsi Center 19,756","select COUNT(High points) where Location Attendance eq Pepsi Center 19,756 ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"Name the opponent in the final 3–6, 1–6","select Opponent in the final where Score in the final eq 3–6, 1–6 ","['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
"Name the opponent in the final for 3–6, 1–6.","select Opponent in the final where Score in the final eq 3–6, 1–6 ","['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
Name the year for Guillermo Caas,select Year where Opponent in the final eq Guillermo Cañas ,"['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
Name the year for Guillermo caas,select Year where Opponent in the final eq Guillermo Cañas ,"['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
Name the year for guillermo caas,select Year where Opponent in the final eq Guillermo Cañas ,"['Outcome', 'Year', 'Championship', 'Surface', 'Opponent in the final', 'Score in the final']"
Was the score for the game against Houston?,select Score where Team eq Houston ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the number of records for the 30 game,select COUNT(Record) where Game eq 30 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the number of records for the game 30,select COUNT(Record) where Game eq 30 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the team for Dec 19,select Team where Date eq December 19 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the team for Dec 19.,select Team where Date eq December 19 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the team for December 19.,select Team where Date eq December 19 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What location and how many people were in attendance where the record for the season was 9-4?,select Location Attendance where Record eq 9-4 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How many points scored where the record is 3-0 for the season?,select High points where Record eq 3-0 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How many points scored where the record for the season is 3-0?,select High points where Record eq 3-0 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What is the score when Chauncey Billups (7) has the highest amount of assists?,select Score where High assists eq Chauncey Billups (7) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What is the score when chauncey billups (7) has the highest amount of assists?,select Score where High assists eq Chauncey Billups (7) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What is the score when j.r. smith (26) has the highest amount of points?,select Score where High points eq J.R. Smith (26) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What is the score when j.r. smith (26) has the highest number of points?,select Score where High points eq J.R. Smith (26) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"When j.r. smith (26) has the highest number of points, what is the score?",select Score where High points eq J.R. Smith (26) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"When the clippers are the team, how many games are there?",select COUNT(Game) where Team eq Clippers ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How many games are there when the clippers are the team?,select COUNT(Game) where Team eq Clippers ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How many games are there when the Clippers are the team?,select COUNT(Game) where Team eq Clippers ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What is the score when aaron afflalo (9) has the highest amount of rebounds?,select Score where High rebounds eq Aaron Afflalo (9) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What is the score when aaron afflalo (9) has the highest number of rebounds?,select Score where High rebounds eq Aaron Afflalo (9) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"When Chauncey Billups (4) has the highest amount of assists, who has the highest amount of points?",select High points where High assists eq Chauncey Billups (4) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"When chauncey billups (4) has the highest amount of assists, who has the highest amount of points?",select High points where High assists eq Chauncey Billups (4) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"When carmelo anthony (39) has the highest number of points, where is the location and what is the attendance?",select Location Attendance where High points eq Carmelo Anthony (39) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
"When Carmelo Anthony (39) has the highest number of points, where is the location and what is the attendance?",select Location Attendance where High points eq Carmelo Anthony (39) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
When carmelo anthony (39) has the highest number of points where is the location and what is the attendance?,select Location Attendance where High points eq Carmelo Anthony (39) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
"When carmelo anthony (42) has the highest amount of points, how many measurements of the highest rebounds are there?",select COUNT(High rebounds) where High points eq Carmelo Anthony (42) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
"When carmelo anthony (42) has the highest number of points, how many measurements of the highest rebounds are there?",select COUNT(High rebounds) where High points eq Carmelo Anthony (42) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
"When Carmelo Anthony (42) has the highest amount of points, how many measurements of the highest rebounds are there?",select COUNT(High rebounds) where High points eq Carmelo Anthony (42) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Name the record for l 106–116 (ot),select Record where Score eq L 106–116 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the record for l 106 – 116 (ot),select Record where Score eq L 106–116 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the record for l 106–116 (ot ),select Record where Score eq L 106–116 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
"Name the high points for the staple center 18,997","select High points where Location Attendance eq Staples Center 18,997 ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Name the high points for the staples center 18997,"select High points where Location Attendance eq Staples Center 18,997 ","['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What was the game date when the record was 27-14?,select Date where Record eq 27-14 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Who had the most points in the game where the score was 97–92 (ot)?,select High points where Score eq W 97–92 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Who had the most points in the game where the score was 97 – 92 (ot)?,select High points where Score eq W 97–92 (OT) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
What was the record when the Timberwolves were played?,select Record where Team eq Timberwolves ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
How many players have the highest points in the game against the Heat?,select COUNT(High points) where Team eq Heat ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Who tied for the highest rebounds in game 29?,select High rebounds where Game eq 29 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Who tied for the highest rebound in game 29?,select High rebounds where Game eq 29 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Record']"
Where was the game number 5 played?,select Location Attendance where Game eq 5 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Where was played game number 5?,select Location Attendance where Game eq 5 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Who had the highest rebounds in Game 2?,select High rebounds where Game eq 2 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
What was the date of the series 0-2?,select Date where Series eq 0-2 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Which series were played on 18 April?,select Series where Date eq April 18 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
Which series had high rebounds with Marcus Camby (11)?,select Series where High rebounds eq Marcus Camby (11) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
What was the series in which the game was 5?,select Series where Game eq 5 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
What was the score when high points were Andre Miller (31)?,select Score where High points eq Andre Miller (31) ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
What is the score in Game 3?,select Score where Game eq 3 ,"['Game', 'Date', 'Team', 'Score', 'High points', 'High rebounds', 'High assists', 'Location Attendance', 'Series']"
