paraquestion,SQL,Header
What is the oblastage when 2054 is the result of 50 to 54?,select Oblast\Age where 50 to 54 eq 2054 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the oblast age when 2054 is the result of 50 to 54?,select Oblast\Age where 50 to 54 eq 2054 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
"When 2054 is the result of 50 to 54, what is the oblastage?",select Oblast\Age where 50 to 54 eq 2054 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
"When Voronezh is the oblastage, what is the lowest result of 65 to 69?",select MIN(65 to 69) where Oblast\Age eq Voronezh ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
When Voronezh is the oblastage what is the lowest result of 65 to 69?,select MIN(65 to 69) where Oblast\Age eq Voronezh ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the lowest result of 65 to 69 when Voronezh is the oblastage?,select MIN(65 to 69) where Oblast\Age eq Voronezh ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the number for 65-69 where 50-54 is 1571?,select 65 to 69 where 50 to 54 eq 1571 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
"What is the number for 65-69, where 50-54 is 1571?",select 65 to 69 where 50 to 54 eq 1571 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the minimum of 60 -- 64?,select MIN(60 to 64) where ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the minimum of 60 - 64?,select MIN(60 to 64) where ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the minimum 60 - 64?,select MIN(60 to 64) where ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the maximum 18 to 19 and 30-34 is 1203?,select MAX(18 to 19) where 30 to 34 eq 1203 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the maximum of 18 to 19 and 30-34 is 1203?,select MAX(18 to 19) where 30 to 34 eq 1203 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the maximum 65-69 and 35-39 is 1606?,select MAX(65 to 69) where 35 to 39 eq 1606 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What is the maximum of 65-69 and 35-39 is 1606?,select MAX(65 to 69) where 35 to 39 eq 1606 ,"['C/W 15+', 'Oblast\\Age', '15 to 17', '18 to 19', '20 to 24', '25 to 29', '30 to 34', '35 to 39', '40 to 44', '45 to 49', '50 to 54', '55 to 59', '60 to 64', '65 to 69', '70+']"
What province has the Chinese translation?,select COUNT(Province) where Chinese eq 重庆 ,"['City', 'Chinese', 'Pinyin', 'Province', 'Urban Population (2010)', 'Administrative Population (2010)']"
What province has the Chinese translation ?,select COUNT(Province) where Chinese eq 重庆 ,"['City', 'Chinese', 'Pinyin', 'Province', 'Urban Population (2010)', 'Administrative Population (2010)']"
Which province has the Chinese translation?,select COUNT(Province) where Chinese eq 重庆 ,"['City', 'Chinese', 'Pinyin', 'Province', 'Urban Population (2010)', 'Administrative Population (2010)']"
What is the total administrative population in Shanghai?,select COUNT(Administrative Population (2010)) where City eq Shanghai ,"['City', 'Chinese', 'Pinyin', 'Province', 'Urban Population (2010)', 'Administrative Population (2010)']"
What is the maximum administrative population of the city with Chinese translation ?,select MAX(Administrative Population (2010)) where Chinese eq 昆明 ,"['City', 'Chinese', 'Pinyin', 'Province', 'Urban Population (2010)', 'Administrative Population (2010)']"
What is the maximum administrative population of the city with Chinese translation?,select MAX(Administrative Population (2010)) where Chinese eq 昆明 ,"['City', 'Chinese', 'Pinyin', 'Province', 'Urban Population (2010)', 'Administrative Population (2010)']"
What is the maximum administrative population of the city with the Chinese translation ?,select MAX(Administrative Population (2010)) where Chinese eq 昆明 ,"['City', 'Chinese', 'Pinyin', 'Province', 'Urban Population (2010)', 'Administrative Population (2010)']"
What is the total urban population of the city with the pinyin translation chángchn?,select COUNT(Urban Population (2010)) where Pinyin eq Chángchūn ,"['City', 'Chinese', 'Pinyin', 'Province', 'Urban Population (2010)', 'Administrative Population (2010)']"
What is the total population of the city with the pinyin translation chángchn?,select COUNT(Urban Population (2010)) where Pinyin eq Chángchūn ,"['City', 'Chinese', 'Pinyin', 'Province', 'Urban Population (2010)', 'Administrative Population (2010)']"
Which player was on the Grizzlies from 2009-2013?,select Player where Years for Grizzlies eq 2009-2013 ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What nationality is the player who went to school in South Florida?,select Nationality where School/Club Team eq South Florida ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What is the nationality of the player who went to school in South Florida?,select Nationality where School/Club Team eq South Florida ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What is the position of the player who was on the Grizzlies from 1995-1996?,select Position where Years for Grizzlies eq 1995-1996 ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
How can players played for the Grizzlies from 2000-2002?,select COUNT(No.) where Years for Grizzlies eq 2000-2002 ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
Name the miles for june 7.,select Miles (km) where Date eq June 7 ,"['Year', 'Date', 'Driver', 'Team', 'Manufacturer', 'Laps', 'Miles (km)', 'Race time', 'Average speed (mph)', 'Report']"
Name the miles for June 7.,select Miles (km) where Date eq June 7 ,"['Year', 'Date', 'Driver', 'Team', 'Manufacturer', 'Laps', 'Miles (km)', 'Race time', 'Average speed (mph)', 'Report']"
Name the driver for the race time being 2:34:21,select Driver where Race time eq 2:34:21 ,"['Year', 'Date', 'Driver', 'Team', 'Manufacturer', 'Laps', 'Miles (km)', 'Race time', 'Average speed (mph)', 'Report']"
Name the driver for the race time of 2:34:21,select Driver where Race time eq 2:34:21 ,"['Year', 'Date', 'Driver', 'Team', 'Manufacturer', 'Laps', 'Miles (km)', 'Race time', 'Average speed (mph)', 'Report']"
Name the driver for june 23 and team of Penske Racing,select Driver where Date eq June 23 and Team eq Penske Racing ,"['Year', 'Date', 'Driver', 'Team', 'Manufacturer', 'Laps', 'Miles (km)', 'Race time', 'Average speed (mph)', 'Report']"
Name the driver for june 23 and the team of Penske Racing,select Driver where Date eq June 23 and Team eq Penske Racing ,"['Year', 'Date', 'Driver', 'Team', 'Manufacturer', 'Laps', 'Miles (km)', 'Race time', 'Average speed (mph)', 'Report']"
Who was the director of the episode in season #50?,select Directed by where Series # eq 50 ,"['Series #', 'Season #', 'Title', 'Directed by', 'Written by', 'Original air date']"
How many directors were there in total for the episode with #62?,select COUNT(Directed by) where Series # eq 62 ,"['Series #', 'Season #', 'Title', 'Directed by', 'Written by', 'Original air date']"
"In what season was the episode titled ""Harlequin""?","select MAX(Season #) where Title eq ""Harlequin"" ","['Series #', 'Season #', 'Title', 'Directed by', 'Written by', 'Original air date']"
What are the nationalities of players who attended Duke?,select COUNT(Nationality) where School/Club Team eq Duke ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
How many nationalities does the athlete Casey Jacobsen have?,select COUNT(Nationality) where Player eq Casey Jacobsen ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
How many nationalities has the athlete Casey Jacobsen?,select COUNT(Nationality) where Player eq Casey Jacobsen ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
Who are the players who attended Stanford?,select Player where School/Club Team eq Stanford ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
Who are the players who have attended Stanford?,select Player where School/Club Team eq Stanford ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
Who are the players that attended Stanford?,select Player where School/Club Team eq Stanford ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
How many athletes play the guard position?,select COUNT(Player) where Position eq Guard ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
During which years did athletes who attended school in Minnesota play for the Grizzlies?,select Years for Grizzlies where School/Club Team eq Minnesota ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
How many players went to Depaul?,select COUNT(Player) where School/Club Team eq DePaul ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What school did the player attend who was with the grizzles in 2011?,select School/Club Team where Years for Grizzlies eq 2011 ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What players attended Missouri?,select Player where School/Club Team eq Missouri ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What position(s) plays the player from Seton Hall?,select Position where School/Club Team eq Seton Hall ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What position(s) does the player from Seton Hall play?,select Position where School/Club Team eq Seton Hall ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What position(s) does the player play from Seton Hall?,select Position where School/Club Team eq Seton Hall ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What number does the player wear who was with the grizzles in 1999?,select MIN(No.) where Years for Grizzlies eq 1999 ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What players guard?,select Player where Position eq Guard ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What position(s) do players play from bowling green?,select Position where School/Club Team eq Bowling Green ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What position(s) do players play from Bowling Green?,select Position where School/Club Team eq Bowling Green ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
What position(s) do players play from the bowling green?,select Position where School/Club Team eq Bowling Green ,"['Player', 'No.', 'Nationality', 'Position', 'Years for Grizzlies', 'School/Club Team']"
Name the most losses for Leslie mann,select MAX(Losses) where Manager eq Leslie Mann ,"['Year (affiliation)', 'Wins', 'Losses', 'Winning Pct.', 'GB (Division Standing)', 'Manager']"
Name the most losses for Leslie Mann,select MAX(Losses) where Manager eq Leslie Mann ,"['Year (affiliation)', 'Wins', 'Losses', 'Winning Pct.', 'GB (Division Standing)', 'Manager']"
Who is the vacator if the district is New Jersey 2nd?,select Vacator where District eq New Jersey 2nd ,"['District', 'Vacator', 'Reason for change', 'Successor', 'Date successor seated']"
Who is the vacator where the district is New Jersey 2nd?,select Vacator where District eq New Jersey 2nd ,"['District', 'Vacator', 'Reason for change', 'Successor', 'Date successor seated']"
What is the date the successor was seated because the person died on 17 August 1954?,"select Date successor seated where Reason for change eq Died August 17, 1954 ","['District', 'Vacator', 'Reason for change', 'Successor', 'Date successor seated']"
What is the date the successor was seated because the person died on 17 august 1954?,"select Date successor seated where Reason for change eq Died August 17, 1954 ","['District', 'Vacator', 'Reason for change', 'Successor', 'Date successor seated']"
Who was the successor for district ohio 15th?,select Successor where District eq Ohio 15th ,"['District', 'Vacator', 'Reason for change', 'Successor', 'Date successor seated']"
Who was the successor for the 15th district of Ohio?,select Successor where District eq Ohio 15th ,"['District', 'Vacator', 'Reason for change', 'Successor', 'Date successor seated']"
What is the total number for reason for change is district michigan 3rd?,select COUNT(Reason for change) where District eq Michigan 3rd ,"['District', 'Vacator', 'Reason for change', 'Successor', 'Date successor seated']"
What is the total number for the reason for change is district michigan 3rd?,select COUNT(Reason for change) where District eq Michigan 3rd ,"['District', 'Vacator', 'Reason for change', 'Successor', 'Date successor seated']"
What day ARchie Roberts died?,select Date of death where Player eq Archie Roberts ,"['Player', 'VFL Games', 'VFL Club(s)', 'Rank held at time of death', 'Date of death', 'Location']"
What location had a VFL game number of 9?,select Location where VFL Games eq 9 ,"['Player', 'VFL Games', 'VFL Club(s)', 'Rank held at time of death', 'Date of death', 'Location']"
Which location had a VFL game number of 9?,select Location where VFL Games eq 9 ,"['Player', 'VFL Games', 'VFL Club(s)', 'Rank held at time of death', 'Date of death', 'Location']"
How many VFL games were located off Goodenough Island in Milne Bay?,select VFL Games where Location eq off Goodenough Island Milne Bay ,"['Player', 'VFL Games', 'VFL Club(s)', 'Rank held at time of death', 'Date of death', 'Location']"
Name the 3rd stage for the thrust parameter.,select 3rd stage where Parameter eq Thrust ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
Name the 3rd stage for parameter of thrust.,select 3rd stage where Parameter eq Thrust ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
Name the 3rd stage for thrust parameter.,select 3rd stage where Parameter eq Thrust ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
Name the parameter for 2.67 m.,select Parameter where 1st stage eq 2.67 m ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
Name the parameter for the 2.67 m,select Parameter where 1st stage eq 2.67 m ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
Name the paarameter for the 1.0 m 3rd stage,select Parameter where 3rd stage eq 1.0 m ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
Name the paarameter for 1.0 m 3rd stage.,select Parameter where 3rd stage eq 1.0 m ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
Name the 1st stage for the parameter diameter,select 1st stage where Parameter eq Diameter ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
Name the 1st stage for the parameter being diameter,select 1st stage where Parameter eq Diameter ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
Name the 1st stage for the parameter diameter.,select 1st stage where Parameter eq Diameter ,"['Parameter', '1st stage', '2nd stage', '3rd stage', '4th stage']"
"How many episodes have the title of ""the world of who""?","select COUNT(Episode #) where Episode title eq ""The World of Who"" ","['Episode #', 'Original airdate (UK)', 'Episode title', 'Doctor Who episode', 'Webcast link']"
"How many episodes have the title ""The world of who""?","select COUNT(Episode #) where Episode title eq ""The World of Who"" ","['Episode #', 'Original airdate (UK)', 'Episode title', 'Doctor Who episode', 'Webcast link']"
"What episode number is the episode ""Bringing Back the Doctor""?","select Episode # where Episode title eq ""Bringing Back the Doctor"" ","['Episode #', 'Original airdate (UK)', 'Episode title', 'Doctor Who episode', 'Webcast link']"
"What episode number is the episode ""Bringing back the Doctor""?","select Episode # where Episode title eq ""Bringing Back the Doctor"" ","['Episode #', 'Original airdate (UK)', 'Episode title', 'Doctor Who episode', 'Webcast link']"
"What is the episode number for the episode ""a new dimension""","select Episode # where Episode title eq ""A New Dimension"" ","['Episode #', 'Original airdate (UK)', 'Episode title', 'Doctor Who episode', 'Webcast link']"
"Which archbishop was ordained bishop on November 30, 1925?","select Archbishop where Ordained Bishop eq November 30, 1925 ","['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
"Which archbishop was ordained as bishop on November 30, 1925?","select Archbishop where Ordained Bishop eq November 30, 1925 ","['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
"What is the date of death of the Archbishop who was ordained bishop April 26, 1927?","select Died where Ordained Bishop eq April 26, 1927 ","['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
"What is the date of death of the archbishop who was ordained bishop April 26, 1927?","select Died where Ordained Bishop eq April 26, 1927 ","['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
"What is the date of death of the Archbishop who was ordained as bishop April 26, 1927?","select Died where Ordained Bishop eq April 26, 1927 ","['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
"How many appointed archbishops were ordained as priests on December 20, 1959?","select COUNT(Appointed Archbishop) where Ordained Priest eq December 20, 1959 ","['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
How many appointed archbishops were ordained as priests on 20 December 1959?,"select COUNT(Appointed Archbishop) where Ordained Priest eq December 20, 1959 ","['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
What date was the person ordained as a priest in December 1838 ordained as bishop?,select Ordained Bishop where Ordained Priest eq December 1838 ,"['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
"When was the Archbishop who vacated the throne on August 18, 1885 ordained as a priest?","select Ordained Priest where Vacated throne eq August 18, 1885 ","['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
"When was the Archbishop, who vacated the throne on August 18, 1885, ordained as a priest?","select Ordained Priest where Vacated throne eq August 18, 1885 ","['Archbishop', 'Born', 'Ordained Priest', 'Ordained Bishop', 'Appointed Archbishop', 'Vacated throne', 'Died']"
How many Bowled players are 4/125?,select COUNT(Player) where Best Bowling eq 4/125 ,"['Player', 'Team', 'Matches', 'Wickets', 'Average', 'Best Bowling']"
"What number of wickets were there when the average was 22,66?",select MAX(Wickets) where Average eq 22.66 ,"['Player', 'Team', 'Matches', 'Wickets', 'Average', 'Best Bowling']"
How many wickets were there when the average was 22.66?,select Wickets where Average eq 22.66 ,"['Player', 'Team', 'Matches', 'Wickets', 'Average', 'Best Bowling']"
"How many wickets were there when the average was 22,66?",select Wickets where Average eq 22.66 ,"['Player', 'Team', 'Matches', 'Wickets', 'Average', 'Best Bowling']"
What was the best bowling score when average was 23.33?,select Best Bowling where Average eq 23.33 ,"['Player', 'Team', 'Matches', 'Wickets', 'Average', 'Best Bowling']"
How many games had 11 wickets?,select MAX(Matches) where Wickets eq 11 ,"['Player', 'Team', 'Matches', 'Wickets', 'Average', 'Best Bowling']"
How many wickets had Alec bedser?,select MAX(Wickets) where Player eq Alec Bedser ,"['Player', 'Team', 'Matches', 'Wickets', 'Average', 'Best Bowling']"
Who picked Dimitri tsoumpas?,select CFL Team where Player eq Dimitri Tsoumpas ,"['Pick #', 'CFL Team', 'Player', 'Position', 'College']"
What position did winnipeg blue bombers draft?,select Position where CFL Team eq Winnipeg Blue Bombers ,"['Pick #', 'CFL Team', 'Player', 'Position', 'College']"
Where was Brendon Labatte picked?,select MIN(Pick #) where Player eq Brendon LaBatte ,"['Pick #', 'CFL Team', 'Player', 'Position', 'College']"
Where was Brendon Labatte picked up?,select MIN(Pick #) where Player eq Brendon LaBatte ,"['Pick #', 'CFL Team', 'Player', 'Position', 'College']"
Who picked up a player from Weber State?,select CFL Team where College eq Weber State ,"['Pick #', 'CFL Team', 'Player', 'Position', 'College']"
What position was taken from Louisiana-Lafayette?,select Position where College eq Louisiana-Lafayette ,"['Pick #', 'CFL Team', 'Player', 'Position', 'College']"
Name the college for Calgary Stampers,select College where CFL Team eq Calgary Stampeders ,"['Pick #', 'CFL Team', 'Player', 'Position', 'College']"
