paraquestion,SQL,Header
Who is the director of the game with HIroshi Sato as producer on the GBA platform?,select Director where Producer eq hiroshi sato and Platform(s) eq gba ,"['Title', 'Year', 'Platform(s)', 'Director', 'Producer']"
Who is the director of the Last Window: The Secret of Cape West 3?,select Director where Title eq last window: the secret of cape west 3 ,"['Title', 'Year', 'Platform(s)', 'Director', 'Producer']"
What is the platform of the 2010 game with Shuichiro Nishiya as the director?,select Platform(s) where Year eq 2010 and Director eq shuichiro nishiya ,"['Title', 'Year', 'Platform(s)', 'Director', 'Producer']"
Which Opponent is on October 29?,select Opponent where October eq 29 ,"['Game', 'October', 'Opponent', 'Score', 'Record', 'Points']"
Which opposition is on October 29?,select Opponent where October eq 29 ,"['Game', 'October', 'Opponent', 'Score', 'Record', 'Points']"
Which October has a record of 1–0–0?,select MIN(October) where Record eq 1–0–0 ,"['Game', 'October', 'Opponent', 'Score', 'Record', 'Points']"
WHich October has a record of 1–0–0?,select MIN(October) where Record eq 1–0–0 ,"['Game', 'October', 'Opponent', 'Score', 'Record', 'Points']"
WHICH October has a record of 1–0–0?,select MIN(October) where Record eq 1–0–0 ,"['Game', 'October', 'Opponent', 'Score', 'Record', 'Points']"
Which opponent has a October larger than 20 with a score of 2–2?,select Opponent where October lt 20 and Score eq 2–2 ,"['Game', 'October', 'Opponent', 'Score', 'Record', 'Points']"
Which opposition has a October larger than 20 with a score of 2–2?,select Opponent where October lt 20 and Score eq 2–2 ,"['Game', 'October', 'Opponent', 'Score', 'Record', 'Points']"
"Which year was the margin of victory 9 strokes and the purse under $2,750,000?","select AVG(Year) where Margin of victory eq 9 strokes and Purse ( $ ) gt 2,750,000 ","['Year', 'Dates', 'Venue', 'Champion', 'Country', 'Score', 'To par', 'Margin of victory', 'Runner(s)-up', 'Purse ( $ )', ""Winner's share ($)""]"
Which year was the score 269?,select COUNT(Year) where Score eq 269 ,"['Year', 'Dates', 'Venue', 'Champion', 'Country', 'Score', 'To par', 'Margin of victory', 'Runner(s)-up', 'Purse ( $ )', ""Winner's share ($)""]"
What is the average number of points for a team in the 250cc class with less than 0 wins?,select AVG(Points) where Class eq 250cc and Wins gt 0 ,"['Year', 'Class', 'Team', 'Points', 'Rank', 'Wins']"
What is the smallest number of points for a team in 1981?,select MIN(Points) where Year eq 1981 ,"['Year', 'Class', 'Team', 'Points', 'Rank', 'Wins']"
What is the smallest number of points for a team of 1981?,select MIN(Points) where Year eq 1981 ,"['Year', 'Class', 'Team', 'Points', 'Rank', 'Wins']"
What is the least number of wins for a team ranked 8th with fewer than 32 points in the 350cc class?,select MIN(Wins) where Points gt 32 and Class eq 350cc and Rank eq 8th ,"['Year', 'Class', 'Team', 'Points', 'Rank', 'Wins']"
What is the lowest number of wins for a team ranked 8th with fewer than 32 points in the 350cc class?,select MIN(Wins) where Points gt 32 and Class eq 350cc and Rank eq 8th ,"['Year', 'Class', 'Team', 'Points', 'Rank', 'Wins']"
What was the rank of the team in the 250cc class in 1983?,select Rank where Class eq 250cc and Year eq 1983 ,"['Year', 'Class', 'Team', 'Points', 'Rank', 'Wins']"
Which district has joseph t. johnson as incumbent?,select District where Incumbent eq joseph t. johnson ,"['District', 'Incumbent', 'Party', 'First elected', 'Result']"
What was the result for james o'h. patterson when he was first elected in 1904?,select Result where First elected eq 1904 and Incumbent eq james o'h. patterson ,"['District', 'Incumbent', 'Party', 'First elected', 'Result']"
Which party was re-elected in the district of South Carolina 5?,select Party where Result eq re-elected and District eq south carolina 5 ,"['District', 'Incumbent', 'Party', 'First elected', 'Result']"
Which party was re-elected in the South Carolina 5 district?,select Party where Result eq re-elected and District eq south carolina 5 ,"['District', 'Incumbent', 'Party', 'First elected', 'Result']"
In which party was joseph t. johnson?,select Party where Incumbent eq joseph t. johnson ,"['District', 'Incumbent', 'Party', 'First elected', 'Result']"
Which party was elected first in 1898?,select Party where First elected eq 1898 ,"['District', 'Incumbent', 'Party', 'First elected', 'Result']"
Which district won when it was first elected in 1900?,select District where First elected eq 1900 ,"['District', 'Incumbent', 'Party', 'First elected', 'Result']"
"How many wins had the player who earned $6,607,562?","select SUM(Wins) where Earnings ( $ ) eq 6,607,562 ","['Rank', 'Player', 'Country', 'Earnings ( $ )', 'Wins']"
What is the average earnings of Greg Norman?,select AVG(Earnings ( $ )) where Player eq greg norman ,"['Rank', 'Player', 'Country', 'Earnings ( $ )', 'Wins']"
What city has a game of friendly and an opponent of tunisia?,select City where Type of game eq friendly and Opponent eq tunisia ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
What city has a game of friendly and opponent of tunisia?,select City where Type of game eq friendly and Opponent eq tunisia ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
What are the results of the opponent of spain?,select Results¹ where Opponent eq spain ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
What are the results of the opponent of Spain?,select Results¹ where Opponent eq spain ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
What results are dated December 19?,select Results¹ where Date eq december 19 ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
What results are dated Dec 19?,select Results¹ where Date eq december 19 ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
What city has the results of 4:2?,select City where Results¹ eq 4:2 ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
Which city has the results of 4:2?,select City where Results¹ eq 4:2 ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
What type of game has the resuts of 1:0?,select Type of game where Results¹ eq 1:0 ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
Which type of game has the resuts of 1:0?,select Type of game where Results¹ eq 1:0 ,"['Date', 'City', 'Opponent', 'Results¹', 'Type of game']"
What are the average games for 1965–1981 and a ranking larger than 4?,select AVG(Games) where Years eq 1965–1981 and Ranking lt 4 ,"['Ranking', 'Nationality', 'Name', 'Games', 'Years']"
What are the average games for 1965–1981 and a ranking greater than 4?,select AVG(Games) where Years eq 1965–1981 and Ranking lt 4 ,"['Ranking', 'Nationality', 'Name', 'Games', 'Years']"
What is the years when games show 550?,select Years where Games eq 550 ,"['Ranking', 'Nationality', 'Name', 'Games', 'Years']"
What is the year when games show 550?,select Years where Games eq 550 ,"['Ranking', 'Nationality', 'Name', 'Games', 'Years']"
What is the years when the games show 550?,select Years where Games eq 550 ,"['Ranking', 'Nationality', 'Name', 'Games', 'Years']"
What is the nationality that shows 4 as the ranking?,select Nationality where Ranking eq 4 ,"['Ranking', 'Nationality', 'Name', 'Games', 'Years']"
What is the nationality that shows 4 as ranking?,select Nationality where Ranking eq 4 ,"['Ranking', 'Nationality', 'Name', 'Games', 'Years']"
Which location has a copy per particle of 0 and a protein of nsp3?,select Location where Copies per particle eq 0 and Protein eq nsp3 ,"['RNA Segment (Gene)', 'Size ( s base pair )', 'Protein', 'Molecular weight kDa', 'Location', 'Copies per particle']"
Which location has 0 copies per particle and a protein of nsp3?,select Location where Copies per particle eq 0 and Protein eq nsp3 ,"['RNA Segment (Gene)', 'Size ( s base pair )', 'Protein', 'Molecular weight kDa', 'Location', 'Copies per particle']"
How many copies per particle does the nsp2 protein have?,select Copies per particle where Protein eq nsp2 ,"['RNA Segment (Gene)', 'Size ( s base pair )', 'Protein', 'Molecular weight kDa', 'Location', 'Copies per particle']"
What is the highest RNA segment with a protein of vp2 and a base pair size over 2690?,select MAX(RNA Segment (Gene)) where Protein eq vp2 and Size ( s base pair ) lt 2690 ,"['RNA Segment (Gene)', 'Size ( s base pair )', 'Protein', 'Molecular weight kDa', 'Location', 'Copies per particle']"
"What is the number of copies per particle with a nonstructural location, an RNA segment over 5 and a base pair size under 751?",select Copies per particle where Location eq nonstructural and RNA Segment (Gene) lt 5 and Size ( s base pair ) gt 751 ,"['RNA Segment (Gene)', 'Size ( s base pair )', 'Protein', 'Molecular weight kDa', 'Location', 'Copies per particle']"
Who won the bronze medal at Hiroshima?,select Bronze where Location eq hiroshima ,"['Year', 'Location', 'Gold', 'Silver', 'Bronze']"
Who won the silver medal in the games where Hong Chia-yuh took home the bronze medal?,select Silver where Bronze eq hong chia-yuh ,"['Year', 'Location', 'Gold', 'Silver', 'Bronze']"
Who won the silver medal in the games where Hong Chia-yuh took bronze?,select Silver where Bronze eq hong chia-yuh ,"['Year', 'Location', 'Gold', 'Silver', 'Bronze']"
Where did Michael Eric Bibat win the bronze medal?,select Location where Bronze eq michael eric bibat ,"['Year', 'Location', 'Gold', 'Silver', 'Bronze']"
Where did Michael Eric Bibat win the bronze?,select Location where Bronze eq michael eric bibat ,"['Year', 'Location', 'Gold', 'Silver', 'Bronze']"
Who won gold at the games where Pan Cheng-Tsung won silver?,select Gold where Silver eq pan cheng-tsung ,"['Year', 'Location', 'Gold', 'Silver', 'Bronze']"
How many bronzes has a silver of 0 and a gold of 0 and a nation of denmark and a total larger than 1?,select SUM(Bronze) where Silver eq 0 and Gold eq 0 and Nation eq denmark and Total lt 1 ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
How many bronzes that has a silver of 0 and a gold of 0 and a nation of denmark and a total larger than 1?,select SUM(Bronze) where Silver eq 0 and Gold eq 0 and Nation eq denmark and Total lt 1 ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
How many bronzes has a silver of 0 and a gold of 0 and a nation of Denmark and a total larger than 1?,select SUM(Bronze) where Silver eq 0 and Gold eq 0 and Nation eq denmark and Total lt 1 ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
How many bronzes has a nation of italy?,select MAX(Bronze) where Nation eq italy ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
How many bronzes that a nation of italy has?,select MAX(Bronze) where Nation eq italy ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
How many silvers have a gold smaller than 1 and a rank of 9 and a total smaller than 1?,select SUM(Silver) where Gold gt 1 and Rank eq 9 and Total gt 1 ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
How many silvers have a gold smaller than 1 and a Rank of 9 and a Total smaller than 1?,select SUM(Silver) where Gold gt 1 and Rank eq 9 and Total gt 1 ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
How many silvers has a gold smaller than 1 and a rank of 9 and a total smaller than 1?,select SUM(Silver) where Gold gt 1 and Rank eq 9 and Total gt 1 ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
Which Bronze has a nation of spain?,select MAX(Bronze) where Nation eq spain ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
Which Bronze has a nation of Spain?,select MAX(Bronze) where Nation eq spain ,"['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total']"
Who was the opponent at the competition held in Jeonju?,select Opponent where Venue eq jeonju ,"['Name', 'Date', 'Goals', 'Assists', 'Team', 'Venue', 'Opponent', 'Competition', 'Total Goals', 'Total Assists']"
Who was the opponent in the competition held in Jeonju?,select Opponent where Venue eq jeonju ,"['Name', 'Date', 'Goals', 'Assists', 'Team', 'Venue', 'Opponent', 'Competition', 'Total Goals', 'Total Assists']"
How many Januarys had records from 22-15-6?,select COUNT(January) where Record eq 22-15-6 ,"['Game', 'January', 'Opponent', 'Score', 'Record']"
What is the date of the barbagallo raceway?,select Date where Event Circuit eq barbagallo raceway ,"['Event Circuit', 'City / State', 'Date', 'Format', 'Winner', 'Team']"
What is the date of the Barbagallo Raceway?,select Date where Event Circuit eq barbagallo raceway ,"['Event Circuit', 'City / State', 'Date', 'Format', 'Winner', 'Team']"
In what city is the hidden valley raceway?,select City / State where Event Circuit eq hidden valley raceway ,"['Event Circuit', 'City / State', 'Date', 'Format', 'Winner', 'Team']"
What city is the hidden valley raceway located in?,select City / State where Event Circuit eq hidden valley raceway ,"['Event Circuit', 'City / State', 'Date', 'Format', 'Winner', 'Team']"
What was the score in the game 81?,select Score where Game # eq 81 ,"['Game #', 'Date', 'Visitor', 'Score', 'Home', 'Record', 'Points']"
What was the record after Game 79?,select Record where Game # eq 79 ,"['Game #', 'Date', 'Visitor', 'Score', 'Home', 'Record', 'Points']"
Who was the home team on 15 April?,select Home where Date eq april 15 ,"['Game #', 'Date', 'Visitor', 'Score', 'Home', 'Record', 'Points']"
What is the pinyin for?,select Hanyu Pinyin where Hanzi eq 依兰县 ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is the pinyin for ?,select Hanyu Pinyin where Hanzi eq 依兰县 ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is Pinyin for?,select Hanyu Pinyin where Hanzi eq 依兰县 ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is the pinyin for the item that has a density of 77?,select Hanyu Pinyin where Density (/km²) eq 77 ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is the pinyin for the item with a density of 77?,select Hanyu Pinyin where Density (/km²) eq 77 ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is the population for the area that has a Hanzi of?,select Population (2010-11-01) where Hanzi eq 延寿县 ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is the population for the area that has a Hanzi of ?,select Population (2010-11-01) where Hanzi eq 延寿县 ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is the population for the area that has a hanzi of?,select Population (2010-11-01) where Hanzi eq 延寿县 ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is the population for Bayan County as of 11-01-2010?,select Population (2010-11-01) where Name eq bayan county ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is the population of Bayan County as of 11-01-2010?,select Population (2010-11-01) where Name eq bayan county ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is the Hanzi for pngfáng q?,select Hanzi where Hanyu Pinyin eq píngfáng qū ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
What is Hanzi for pngfáng q?,select Hanzi where Hanyu Pinyin eq píngfáng qū ,"['Name', 'Hanzi', 'Hanyu Pinyin', 'Population (2010-11-01)', 'Area (km²)', 'Density (/km²)']"
Which Slalom has an overall 25 in the 2009 season?,select Slalom where Overall eq 25 and Season eq 2009 ,"['Season', 'Overall', 'Slalom', 'Giant Slalom', 'Super G', 'Combined']"
What is the earliest season with a giant slalom of 5?,select MIN(Season) where Giant Slalom eq 5 ,"['Season', 'Overall', 'Slalom', 'Giant Slalom', 'Super G', 'Combined']"
Which combined score has an overall score of 8?,select Combined where Overall eq 8 ,"['Season', 'Overall', 'Slalom', 'Giant Slalom', 'Super G', 'Combined']"
Which combined score has an overall 8?,select Combined where Overall eq 8 ,"['Season', 'Overall', 'Slalom', 'Giant Slalom', 'Super G', 'Combined']"
Which Super Ghas missed a season due to injury?,select Super G where Overall eq missed season due to injury ,"['Season', 'Overall', 'Slalom', 'Giant Slalom', 'Super G', 'Combined']"
Which Super Ghas missed the season due to injury?,select Super G where Overall eq missed season due to injury ,"['Season', 'Overall', 'Slalom', 'Giant Slalom', 'Super G', 'Combined']"
Name the most events with cuts made more than 6 and the top 25 more than 30,select MAX(Events) where Cuts made lt 6 and Top-25 lt 30 ,"['Tournament', 'Wins', 'Top-5', 'Top-10', 'Top-25', 'Events', 'Cuts made']"
Name the most events with cuts more than 6 and top 25 more than 30,select MAX(Events) where Cuts made lt 6 and Top-25 lt 30 ,"['Tournament', 'Wins', 'Top-5', 'Top-10', 'Top-25', 'Events', 'Cuts made']"
Name the top-10 with the top-5 less than 1,select Top-10 where Top-5 gt 1 ,"['Tournament', 'Wins', 'Top-5', 'Top-10', 'Top-25', 'Events', 'Cuts made']"
Name the top-10 with top-5 less than 1.,select Top-10 where Top-5 gt 1 ,"['Tournament', 'Wins', 'Top-5', 'Top-10', 'Top-25', 'Events', 'Cuts made']"
Name the averae top 25 with events less than 0.,select AVG(Top-25) where Events gt 0 ,"['Tournament', 'Wins', 'Top-5', 'Top-10', 'Top-25', 'Events', 'Cuts made']"
Name the top 25 averae with events less than 0,select AVG(Top-25) where Events gt 0 ,"['Tournament', 'Wins', 'Top-5', 'Top-10', 'Top-25', 'Events', 'Cuts made']"
Name the total number of top 10 with top 25 less than 2 and top 5 more than 0.,select COUNT(Top-10) where Top-25 gt 2 and Top-5 lt 0 ,"['Tournament', 'Wins', 'Top-5', 'Top-10', 'Top-25', 'Events', 'Cuts made']"
Name the total number of the top 10 with top 25 less than 2 and top 5 more than 0,select COUNT(Top-10) where Top-25 gt 2 and Top-5 lt 0 ,"['Tournament', 'Wins', 'Top-5', 'Top-10', 'Top-25', 'Events', 'Cuts made']"
In what year is the Gauge 2 ft 6 in?,select Year where Gauge eq 2 ft 6 in ,"['Gauge', 'Railway', 'Works no.', 'Year', 'Builder']"
In what year is the gauge 2 ft 6 in?,select Year where Gauge eq 2 ft 6 in ,"['Gauge', 'Railway', 'Works no.', 'Year', 'Builder']"
In which year is the Gauge 2 ft 6 in?,select Year where Gauge eq 2 ft 6 in ,"['Gauge', 'Railway', 'Works no.', 'Year', 'Builder']"
In what year is the works no. 2040-2049?,select Year where Works no. eq 2040-2049 ,"['Gauge', 'Railway', 'Works no.', 'Year', 'Builder']"
In what year is the work no. 2040-2049?,select Year where Works no. eq 2040-2049 ,"['Gauge', 'Railway', 'Works no.', 'Year', 'Builder']"
In what year is the work number 2040-2049?,select Year where Works no. eq 2040-2049 ,"['Gauge', 'Railway', 'Works no.', 'Year', 'Builder']"
"What is the Gauge of the Builder Beyer, Peacock?","select Gauge where Builder eq beyer, peacock ","['Gauge', 'Railway', 'Works no.', 'Year', 'Builder']"
"What is the gauge of the builder Beyer, Peacock?","select Gauge where Builder eq beyer, peacock ","['Gauge', 'Railway', 'Works no.', 'Year', 'Builder']"
Which round has a record of 5-0?,select Round where Record eq 5-0 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round']"
Which method has the record 11-1?,select Method where Record eq 11-1 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round']"
What method has the UFC 44 event?,select Method where Event eq ufc 44 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round']"
What method is the UFC 44 event?,select Method where Event eq ufc 44 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round']"
Which event has a record of 12-1?,select Event where Record eq 12-1 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round']"
Which event has 12-1 record as a record?,select Event where Record eq 12-1 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round']"
Which round was a loss with a record of 12-3?,select Round where Res. eq loss and Record eq 12-3 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round']"
Which method used the record of 11-1?,select Method where Record eq 11-1 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round']"
The record of 11-1 used which method?,select Method where Record eq 11-1 ,"['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Round']"
"What surface was played the match on November 6, 1982?","select Surface where Date eq november 6, 1982 ","['Outcome', 'Date', 'Tournament', 'Surface', 'Partner', 'Opponents', 'Score']"
"What surface was the match played on November 6, 1982?","select Surface where Date eq november 6, 1982 ","['Outcome', 'Date', 'Tournament', 'Surface', 'Partner', 'Opponents', 'Score']"
"On what surface was played the match on November 6, 1982?","select Surface where Date eq november 6, 1982 ","['Outcome', 'Date', 'Tournament', 'Surface', 'Partner', 'Opponents', 'Score']"
What place did Russia finish in?,select COUNT(Placing) where Team eq russia ,"['Team', 'Players', 'Placing', 'Round Robin W-L', 'Matches W-L', 'Sets W-L']"
In what place did Russia finish?,select COUNT(Placing) where Team eq russia ,"['Team', 'Players', 'Placing', 'Round Robin W-L', 'Matches W-L', 'Sets W-L']"
In what place did russia finish?,select COUNT(Placing) where Team eq russia ,"['Team', 'Players', 'Placing', 'Round Robin W-L', 'Matches W-L', 'Sets W-L']"
What is the WChmp of the race greater than 42 and pole greater than 11?,select COUNT(WChmp) where Race lt 42 and Pole lt 11 ,"['Class', 'Season', 'Race', 'Podiums', 'Pole', 'FLap', 'WChmp']"
What is the WChmp of the race greater than 42 and the pole greater than 11?,select COUNT(WChmp) where Race lt 42 and Pole lt 11 ,"['Class', 'Season', 'Race', 'Podiums', 'Pole', 'FLap', 'WChmp']"
What is the lowest WChmp if the podiums are 26?,select MIN(WChmp) where Podiums eq 26 ,"['Class', 'Season', 'Race', 'Podiums', 'Pole', 'FLap', 'WChmp']"
What is the lowest WChmp if podiums are 26?,select MIN(WChmp) where Podiums eq 26 ,"['Class', 'Season', 'Race', 'Podiums', 'Pole', 'FLap', 'WChmp']"
What is the total number of podiums if the class is total?,select COUNT(Podiums) where Class eq total ,"['Class', 'Season', 'Race', 'Podiums', 'Pole', 'FLap', 'WChmp']"
What are the podiums during race 14?,select MAX(Podiums) where Race eq 14 ,"['Class', 'Season', 'Race', 'Podiums', 'Pole', 'FLap', 'WChmp']"
What are the podiums during the race 14?,select MAX(Podiums) where Race eq 14 ,"['Class', 'Season', 'Race', 'Podiums', 'Pole', 'FLap', 'WChmp']"
"What call sign has a city of license of higgston, ga?","select Call sign where City of license eq higgston, ga ","['Call sign', 'Frequency MHz', 'City of license', 'ERP W', 'Class', 'FCC info']"
"What call sign has a city of license of Higgston, ga?","select Call sign where City of license eq higgston, ga ","['Call sign', 'Frequency MHz', 'City of license', 'ERP W', 'Class', 'FCC info']"
"What city of license has a ERP W of 2,000?","select City of license where ERP W eq 2,000 ","['Call sign', 'Frequency MHz', 'City of license', 'ERP W', 'Class', 'FCC info']"
"What city of license has an ERP W of 2,000?","select City of license where ERP W eq 2,000 ","['Call sign', 'Frequency MHz', 'City of license', 'ERP W', 'Class', 'FCC info']"
"What is the class where the city of license is lake oconee, ga?","select Class where City of license eq lake oconee, ga ","['Call sign', 'Frequency MHz', 'City of license', 'ERP W', 'Class', 'FCC info']"
"What is the class where the city of the license is lake oconee, ga?","select Class where City of license eq lake oconee, ga ","['Call sign', 'Frequency MHz', 'City of license', 'ERP W', 'Class', 'FCC info']"
Which chassis has 2012 as the year?,select Chassis where Year eq 2012 ,"['Year', 'Chassis', 'Engine', 'Start', 'Finish', 'Team']"
What engine has a start less than 7 and a finish less than 23?,select Engine where Start gt 7 and Finish eq 23 ,"['Year', 'Chassis', 'Engine', 'Start', 'Finish', 'Team']"
What engine has a start less than 7 and 23 as a finish?,select Engine where Start gt 7 and Finish eq 23 ,"['Year', 'Chassis', 'Engine', 'Start', 'Finish', 'Team']"
What is the average finish that has a start greater than 3 with honda as the engine and 2011 as the year?,select AVG(Finish) where Start lt 3 and Engine eq honda and Year eq 2011 ,"['Year', 'Chassis', 'Engine', 'Start', 'Finish', 'Team']"
What is the average finish that has a start greater than 3 with Honda as the engine and 2011 as the year?,select AVG(Finish) where Start lt 3 and Engine eq honda and Year eq 2011 ,"['Year', 'Chassis', 'Engine', 'Start', 'Finish', 'Team']"
"How many starts have a year prior to 2012 and team penske as the team, with a finish greater than 27?",select SUM(Start) where Year gt 2012 and Team eq team penske and Finish lt 27 ,"['Year', 'Chassis', 'Engine', 'Start', 'Finish', 'Team']"
